IMG_,@Photos,DESCRIPTION,URL STRING,LINK,YEAR,TYPE,STATUS,TYPOLOGY_01,TYPOLOGY_02,REM?,,TEAM_01,TEAM_02,TEAM_03,TEAM_04,TEAM_05,TEAM_06,TEAM_07,TEAM_08,TEAM_09,TEAM_10,TEAM_11,TEAM_12,TEAM_13,TEAM_14,TEAM_15,TEAM_16,TEAM_17,TEAM_18,TEAM_19,TEAM_20,TEAM_21,TEAM_22,TEAM_23,TEAM_24,TEAM_25,TEAM_26,TEAM_27,TEAM_28,TEAM_29,TEAM_30,TEAM_31,TEAM_32,TEAM_33,TEAM_34,TEAM_35,TEAM_36,TEAM_37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\151.jpg,IIT McCormick Tribune Campus Center,IIT-McCormick-Tribune-Campus-Center,oma.eu,2003,Project,Completed,Education,,TRUE,,Sarah Dun,Anne Filson,Jeffrey Johnson,Kristina Manis,Gary Bates,Frans Blok,Gro Bonesmo,Eliot Bu,Becca Dudley,Martin Felsen,Adrianne Fisher,Bruce Fisher,Christina Fuchs,Laura Gilmore,Uwe Herlyn,Matthias Hollwich,Krystyan Keck,Adam Kurdahl,Vanessa de Assis Lamounier,Julien Monfort,Christian Müller,Kate Orff,Matteo Poli,Joshua Prince-Ramus,Fernando Romero,Julien De Smedt,Tuomas Toivonen,Angela van der Zee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\152.jpg,"Kool World, Condé Nast",Kool-World-Condé-Nast,oma.eu,2003,Publication,Publication,N/A,,TRUE,,AMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\153.jpg,Les Halles,Les-Halles,oma.eu,2003,Project,Competition,Masterplan,,TRUE,,Clément Blanchet,Benjamin Clarens,Nicolas Firket,Natacha Fricout,Mee Michelle Liu,Michael Smith,Johan De Wachter,Camia Youn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\154.jpg,Netherlands Embassy,Netherlands-Embassy,oma.eu,2003,Project,Completed,Office,,TRUE,,Gro Bonesmo,Michelle Howard,Erik Schotte,Stan Aarts,Mette Bos,Robert Choeff,Paolo Costa,Anne Filson,Adrianne Fisher,Bruce Fisher,Udo Garritzmann,Marc Guinand,Annick Hess,Matthias Hollwich,Jenny Jones,Thomas Kolbasenko,Adam Kurdahl,Antti Lassila,Anu Leinonen,Nils Lindhorst,Rombout Loman,Susanne Manthey,Beth Margulis,Christian Müller,Daan Ooievaar,Bill Price,Tammo Prinz,Shadi Rahbaran,Fernando Romero,Christiane Sauer,Oliver Schütte,Julien De Smedt,Felix Thoma,Katrin Thorhauer,Carolus Traenkner,Moritz von Voss,Barbara Wolff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\155.jpg,Prada Sport,Prada-Sport,oma.eu,2003,Project,Commissioned Study,Research,,FALSE,,Reinier de Graaf,Jens Hommert,Markus Schaefer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\156.jpg,Almere Block 6,Almere-Block-6,oma.eu,2004,Project,Completed,Theatre,,TRUE,,Olga Aleksakova,Kees van Casteren,Rob de Maat,Karen Shanski,Shohei Shigematsu,Bina Bhattacharya,Bart Cardinaal,Laszlo Fecske,Sharon Goren,Philip Koenen,Antti Lassila,Paz Martin,Markus Schaefer,Mark Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\157.jpg,"Content, Taschen",Content-Taschen,oma.eu,2004,Publication,Publication,N/A,,TRUE,,Brendan McGetrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\158.jpg,Ecole Polytechnique Federale De Lausanne – Learning Center,Ecole-Polytechnique-Federale-De-Lausanne-–-Learning-Center,oma.eu,2004,Project,Competition,Education,,TRUE,,Fernando Donis,Clément Blanchet,Catarina Canas,Joao Bravo da Costa,Cedric von Daniken,Tiago Simas Freire,Gustavo Guimarães,Trine Kobbelvedt,Simon Kretz,Xiaodong Liu,Laurent Troost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\159.jpg,Gent Forum,Gent-Forum,oma.eu,2004,Project,Competition,Theatre,,TRUE,,Gabriella Bojalil,Catarina Canas,Kees van Casteren,Fernando Donis,Frank Eittorf,Gustavo Guimarães,Selva Gurdogan,Trine Kobbelvedt,Michelle Liu,Rob de Maat,Konstantinos Pantazis,Filip Rem,Beatrice Schiavina,Michael Smith,Gregers Tang Thomsen,Joris Weijts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\160.jpg,Gent Oude Dokken,Gent-Oude-Dokken,oma.eu,2004,Project,Competition,Masterplan,,TRUE,,Gjergj Bakallbashi,Annalisa Castorri,Haiko Cornelissen,Lodewijk van Eeghen,Frank Eittorf,Tiago Simas Freire,Pieter Janssens,Alexandra Jezierski,Marieke Kums,Miho Mazereeuw,Edward Neale,Tiago Farinha Rodrigues,Camia Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\161.jpg,Idea Vertical Campus,Idea-Vertical-Campus,oma.eu,2004,Project,Competition,Education,,TRUE,,Shohei Shigematsu,Fernando Donis,Rodney Eggleston,Alain Fouraux,Thomas von Girsewald,Filip Rem,Hiromasa Shirai,Michael Smith,Steffi Wedde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\162.jpg,Leeum Museum,Leeum-Museum,oma.eu,2004,Project,Completed,Museum / Gallery,,TRUE,,Kunle Adeyemi,Charles Berman,Paul Burgstaller,Minsuk Cho,James Harper,Shiro Ogata,Daan Ooievaar,Torsten Schröder,Mark Watanabe,Victoria Willocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\163.jpg,Logroño,Logroño,oma.eu,2004,Project,Competition,Masterplan,,TRUE,,Annalisa Castorri,Hugo Clara,João Bravo da Costa,Cedric von Daniken,Chris van Duijn,Jens Eberhardt,Frank Eittorf,Gaspard Estourgie,Ramona Jenss,Alexandra Jezierski,Trine Kobbelvedt,Julius Kranefuss,Marieke Kums,Beatriz Ramo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\164.jpg,Mercati Generali,Mercati-Generali,oma.eu,2004,Project,Competition,Mixed use,,TRUE,,Roberto Otero,Kunle Adeyemi,João Amaro,Berit Bessell,Clément Blanchet,Kees van Casteren,Frank Eittorf,Gaspard Estourgie,Tiago Simas Freire,Thomas v. Girsewald,Ramona Jenss,Rob de Maat,Cristina Cassandra Murphy,Marco di Piaggi,Beatriz Ramo,Maurizio Scarciglia,Beatrice Schiavina,Spela Stern,Camia Youn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\165.jpg,National Museum of China,National-Museum-of-China,oma.eu,2004,Project,Competition,Museum / Gallery,,TRUE,,Shohei Shigematsu,Berit Bessell,Clément Blanchet,Catarina Canas,Jin Chong,Joao Bravo da Costa,Marieke Kums,Michelle Liu,Xiaodong Liu,Michael Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\166.jpg,Penang Tropical City,Penang-Tropical-City,oma.eu,2004,Project,Competition,Masterplan,,FALSE,,Eric Chang,Jens Eberhardt,Catarina Canas,Ivo van Capeleveen,Miha Cebulj,João Bravo da Costa,Pieter Janssens,Trine Kobbelvedt,Julius G. Krausfuss,Felix Madrazo,Yusuke Okabaya,Marc Verheijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\167.jpg,Prada Epicenter Los Angeles,Prada-Epicenter-Los-Angeles,oma.eu,2004,Project,Completed,Retail,,TRUE,,Eric Chang,Jessica Rothschild,Amale Andraos,Christian Bandi,Catarina Canas,Chris van Duijn,Chris van Duijn,Keren Engelman,Ali Kops,Jocelyn Low,David Moore,Torsten Schröder,Mark Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\168.jpg,Prada Waist Down,Prada-Waist-Down,oma.eu,2004,Project,Completed,Exhibition,,TRUE,,Nicolas Firket,Michelle Liu,Kayoko Ota,Shohei Shigematsu,Jorgen Skogomo,Michael Smith,Eriko Watanbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\169.jpg,S Project,S-Project,oma.eu,2004,Project,Competition,Masterplan,,TRUE,,Kunle Adeyemi,Catarina Canas,Rodrigo Nunèz Carrasco,Rodney Eggleston,Natacha Fricout,Jeremy Godenir,Young Wook Jong,Antonis Karides,Mee Michelle Liu,Roberto Otero,Steffi Wedde,Camia Young,Daniela Zimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\170.jpg,Seattle Central Library,Seattle-Central-Library,oma.eu,2004,Project,Completed,Library,,TRUE,,Meghan Corwin,Mark von Hof-Zogrotzki,Bjarke Ingels,Carol Patterson,Natasha Sandmeier,Ali Arvanaghi,Florence Clausel,Keely Colcleugh,Rachel Doherty,Thomas Dubuisson,Chris van Duijn,Erez Ella,Achim Gergen,Sarah Gibson,Laura Gilmore,Eveline Jürgens,Antti Lassila,Anna Little,John McMorrough,Kate Orff,Hannes Peer,João Costa Ribeiro,Beat Schenk,Saskia Simon,Kristina Skoogh,Anna Sutor,Sybille Wälty,Leonard Weil,Victoria Willocks,Dan Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\171.jpg,Shanghai Expo 2010,Shanghai-Expo-2010,oma.eu,2004,Project,Commissioned Study,Research,,TRUE,,Markus Schaefer,PROJECT ARCHITECT,Theo Deutinger,HARVARD GSD TEAM,Margaret Arbanas,Jason Long,Nanne de Ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\172.jpg,Souterrain Tram Tunnel,Souterrain-Tram-Tunnel,oma.eu,2004,Project,Completed,Infrastructure,,TRUE,,Hernando Arrazola,Juliette Bekkering,Frans Blok,Rients Dijkstra,Jeanne Gang,Udo Garritzmann,Douglas Grieco,René Heijnen,Fuminori Hoshino,Winy Maas,Ray Maggiore,Farshid Moussavi,Miguel Rodriguez-Casellas,Karolien de Schepper,Enno Stemerding,Hiroki Sugiyama,Willem Timmer,Tom Tulloch,Yushi Uehara,Jacques Vink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\173.jpg,White City,White-City,oma.eu,2004,Project,Competition,Masterplan,,TRUE,,Markus Dettling,Beth Hughes,Floris Alkemade,Filipe Balestra,Thibaut Barrault,Joshua Beck,Clément Blanchet,Christian Brimmer,Annalisa Castorri,Claire Destrebecq,Frank Eittorf,Benedicte Erritzoe,Nicolas Firket,Adam Frampton,Stamatis Giannikis,Andrew Griffin,Joyce Hsiang,Pieter Janssens,Pascal Lestringant,Joana Da Rocha Sá Lima,Anna Little,Mee Michelle Liu,Jason Long,Rob de Maat,Ben Milbourne,Anne Moerman,David Eugin Moon,Matthew Logan Murphy,Charles Peronin,Stefanie Rack,Alexander Reichert,Richard Sharam,Shohei Shigematsu,Jin Song,Leo Stevens,Christin Svensson,Felix Tönis,Laurent Troost,Boris Vapne,Minoru Watanabe,Claudia Wolsfeld,Camia Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\174.jpg,Almere Masterplan,Almere-Masterplan,oma.eu,2005,Project,Completed,Masterplan,,TRUE,,Kees van Casteren,Rob de Maat,Olga Aleksakova,Juliette Bekkering,Bina Bhattacharya,Bart Cardinaal,Markus Dettling,Rob Hilz,Philip Koenen,Karen Shanski,Shohei Shigematsu,Mark Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\175.jpg,Anish Kapoor House,Anish-Kapoor-House,oma.eu,2005,Project,Commissioned Study,Residential,,TRUE,,Chris van Duijn,Pieter Janssens,Edoardo Lucchini-Gabriolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\176.jpg,Balandra Bay,Balandra-Bay,oma.eu,2005,Project,Competition,Masterplan,,TRUE,,Filipe Balestra,Berit Bessell,Katrin Betschinger,Fernando Donis,Gustavo Guimarães,Miho Mazereeuw,Laurent Troost,Leonie Wenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\177.jpg,Baltic Pearl,Baltic-Pearl,oma.eu,2005,Project,Competition,Masterplan,,TRUE,,Reinier de Graaf,Shohei Shigematsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\178.jpg,Casa da Musica,Casa-da-Musica,oma.eu,2005,Project,Completed,Theatre,,TRUE,,Ellen van Loon,Uwe Herlyn,Fernando Romero,Isabel da Silva,Barbara Wolff,Rita Amado,Alois Baptista,Christina Beaumont,Catarina Canas,André Cardoso,Robert Choeff,Paulo Costa,Thomas Duda,Chris van Duijn,Adrianne Fisher,Govert Gerritsen,Stephan Griek,Michelle Howard,Ana Jacinto,Alex de Jong,Krystyan Keck,Philip Koenen,Eduarda Lima,Anna Little,Fabienne Louyot,Christian von der Muelde,Peter Müller,Shadi Rahbaran,Nuno Rosado,João Prates Ruivo,Christoff Scholl,Isabel da Silva,Saskia Simon,Barbara Wolff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\179.jpg,Hermitage Museum,Hermitage-Museum,oma.eu,2005,Project,Completed,Research,,TRUE,,Reinier de Graaf,Olga Aleksakova,Filipe Balestra,Berit Bessell,Hans Christian Bock,Anya Bokov,Annalisa Castorri,Benjamin Clarens,Ana Dijk,Fernando Donis,Michal Gdak,Jeremy Godenir,Gustavo Guimarães,Beth Hughes,Julius Kranefuss,Olga Krutjak,Alexey Levchuk,Felix Madrazo,Miho Mazereeuw,Brendan McGetrick,Ben Milbourne,Konstantinos Pantazis,Stefi Rack,Beatriz Ramo,Jenss Ramona,Todd Reisz,Marianna Rentzou,Mendel Robbers,Nanne de Ru,Shohei Shigematsu,Anastacia Smirnova,Michael Smith,Alexander Sverdlov,Laurent Troost,Stephen Wang,Richard Wang,Claudia Wolsfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\180.jpg,Jeddah International Airport,Jeddah-International-Airport,oma.eu,2005,Project,Commissioned Study,Landscape,,TRUE,,Fernando Donis,João Amaro,Filipe Balestra,Joshua Beck,Katrin Betschinger,Tiago Branco-Sampaio,Haiko Cornelissen,Inge Goudsmit,Gustavo Guimarães,Miho Mazereeuw,Ben Milbourne,Joao Ruivo,Laurent Troost,Leonie Wenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\181.jpg,Prada Epicenter London,Prada-Epicenter-London,oma.eu,2005,Project,Commissioned Study,Retail,,TRUE,,Shohei Shigematsu,Chris van Duijn,Tanner Merkeley,Kengo Skorick,Michael Smith,Suzannah Waldron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\182.jpg,Prada Epicenter Shanghai,Prada-Epicenter-Shanghai,oma.eu,2005,Project,Commissioned Study,Retail,,TRUE,,Shohei Shigematsu,Joshua Beck,Berit Bessell,João Bravo da Costa,Levent Kerimol,Mee Michelle Liu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\183.jpg,Seoul National University Museum Of Art,Seoul-National-University-Museum-Of-Art,oma.eu,2005,Project,Completed,Museum / Gallery,,TRUE,,Kunle Adeyemi,George Bucher,Shiro Ogata,Roberto Otero,Pilar Armand-Ugón,Emese Barcosi,Frans Blok,George Bucher,Rodrigo Nunèz Carrasco,Isabel Casanellas,Minsuk Cho,Wim Eckert,Piet Eckert,Rodney Eggleston,Anthony Fontenot,Natacha Fricout,Jeremy Godenir,Andreas Huhn,Antonis Karides,Young Joon Kim,Rob de Maat,Shiro Ogata,Philip Oswalt,Roberto Otero,Tae Hong Park,Rodrigo Patricio,Matteo Poli,Sabine Schaaf,Isabel da Silva,Don Weber,Steffi Wedde,Camia Young,Daniela Zimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\184.jpg,Sighvatsson House,Sighvatsson-House,oma.eu,2005,Project,Commissioned Study,Residential,,TRUE,,Chris van Duijn,Pieter Janssens,Edoardo Lucchini-Gabriolo,Vitor Smolka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\185.jpg,Venice Biennale 2005: Expansion Neglect,Venice-Biennale-2005:-Expansion-Neglect,oma.eu,2005,Project,Completed,Exhibition,,TRUE,,Samir Bantal,Joao Leal Bravo da Costa,Emilie Gomart,Jens Hommert,Felix Madrazo,Brendan McGetrick,Holger Pausch,Alexander Reichert,Todd Reisz,Mendel Robbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\186.jpg,Vincent Gallo Apartment,Vincent-Gallo-Apartment,oma.eu,2005,Project,Commissioned Study,Residential,,TRUE,,Chris van Duijn,Pieter Janssens,Edoardo Lucchini-Gabriolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\187.jpg,111 First Street,111-First-Street,oma.eu,2006,Project,Design Development,Mixed use,,TRUE,,Shohei Shigematsu,Margaret Arbanas,Tomek Bartczak,Chun Yue Chiu,Jan Dechow,Duncan Flemington,Adam Frampton,Ludwig Godefroy,Alasdair Graham,Richard Hollington,Jin Hong Jeon,Simon de Jong,Klaas Kresse,Jang Hwan Lee,Javier Muñoz,Jung Hwan Park,Ian Robertson,Martin Schliefer,Torsten Schröder,Jesse Seegers,Noah Shepherd,Kengo Skorick,Christin Svensson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\188.jpg,2007 FW Prada Men's Show,2007-FW-Prada-Men's-Show,oma.eu,2006,Project,Completed,Scenography,,TRUE,,Alexander Reichert,Koen Stockbroekx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\189.jpg,Abuja Aist,Abuja-Aist,oma.eu,2006,Project,Competition,Mixed use,,TRUE,,Floris Alkemade,Ademide Adelusi Adeluyi,Kunle Adeyemi,Pablo Barrera,Christian Brimmer,Haiko Cornelissen,Joao Leal Bravo da Costa,Maria Derevencova,Beth Hughes,Edoardo Lucchini-Gabriolo,Ralph van Mameren,Felix Tönis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\190.jpg,Almaty Science Campus,Almaty-Science-Campus,oma.eu,2006,Project,Design Development,Education,,FALSE,,Behnaz Assadi,Ludwig Godefroy,Arie Gruijters,Olaf Härtel,Richard Hollington,Bin Kim,Mirai Morita,Max Rink,Ian Robertson,Edward Solodukhin,Laurent Troost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\191.jpg,Boompjes 60-68,Boompjes-60-68,oma.eu,2006,Project,Commissioned Study,Office,,TRUE,,Floris Alkemade,Ralph van Mameren,Arman Akdogan,Rafael Balestra,Mariano Sagasta Garcia,Lorenzo Marasso,Ana Martins,Francesco Marull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\192.jpg,"Casa da Música, Ellen van Loon",Casa-da-Música-Ellen-van-Loon,oma.eu,2006,Lecture,Lecture,N/A,,FALSE,,Ellen van Loon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,D:\Google Drive\Architecture\2017\11222 Critique\11222 OMA Map\Project Data\193.jpg,City in The Desert,City-in-The-Desert,oma.eu,2006,Project,Commissioned Study,Masterplan,,TRUE,,Reinier de Graaf,Samir Bantal,Tomek Bartczak,Philippe Braun,Martin Gallovsky,Mariano Sagasta Garcia,Kai van Hasselt,Beth Hughes,Pieter Janssens,Ravi Kamisetti,Bin Kim,Daniel Klos,Barend Koolhaas,Miho Mazereeuw,Morai Morita,Nicola Nett,Alain Peauroi,Daliana Suryawinata,Christin Svensson,Beth Hughes,Jin Hong Jeon,Bin Kim,Mirai Morita,Erica Osterlund,Matthew Seidel,Shuo Wang,Jing Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
